No.,Time,Source,Destination,Protocol,Length,Info
1,0.0,2600:4040:231a:b800:3c9e:c12c:139a:9787,2606:4700::6812:562a,TCP,74,53729  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=0
2,0.012954,2606:4700::6812:562a,2600:4040:231a:b800:3c9e:c12c:139a:9787,TCP,86,[TCP ACKed unseen segment] 443  >  53729 [ACK] Seq=1 Ack=2 Win=17 Len=0 TSval=660029736 TSecr=4120568977
3,0.651345,WNC_46:a8:04,Broadcast,ARP,42,Who has 192.168.1.210? Tell 192.168.1.1
4,1.188752,2600:4040:231a:b800:3c9e:c12c:139a:9787,2600:4040:231a:b800::1,ICMPv6,86,Neighbor Solicitation for 2600:4040:231a:b800::1 from ce:f6:1b:97:2c:c9
5,1.196428,2600:4040:231a:b800::1,2600:4040:231a:b800:3c9e:c12c:139a:9787,ICMPv6,78,"Neighbor Advertisement 2600:4040:231a:b800::1 (rtr, sol)"
6,1.265713,192.168.1.210,224.0.0.251,MDNS,103,"Standard query 0x0004 PTR _googlecast._tcp.local, ""QM"" question PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question"
7,1.265717,fe80::18:46ff:fe60:c130,ff02::fb,MDNS,123,"Standard query 0x0004 PTR _googlecast._tcp.local, ""QM"" question PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question"
8,1.265763,WNC_46:a8:04,Broadcast,ARP,42,Who has 192.168.1.100? Tell 192.168.1.1
9,1.982591,WNC_46:a8:04,Broadcast,ARP,42,Who has 192.168.1.228? Tell 192.168.1.1
10,1.982595,fe80::2641:feff:fe46:a804,ff02::1:ff99:850a,ICMPv6,86,Neighbor Solicitation for fe80::1097:88a0:4399:850a from 24:41:fe:46:a8:04
11,1.982597,WNC_46:a8:04,Broadcast,ARP,42,Who has 192.168.1.195? Tell 192.168.1.1
12,1.982704,ce:f6:1b:97:2c:c9,WNC_46:a8:04,ARP,42,192.168.1.228 is at ce:f6:1b:97:2c:c9
13,1.982814,fe80::1097:88a0:4399:850a,fe80::2641:feff:fe46:a804,ICMPv6,86,"Neighbor Advertisement fe80::1097:88a0:4399:850a (sol, ovr) is at ce:f6:1b:97:2c:c9"
14,3.220578,35.153.195.153,192.168.1.228,TLSv1.2,112,Application Data
15,3.220582,35.153.195.153,192.168.1.228,TLSv1.2,97,Encrypted Alert
16,3.220585,35.153.195.153,192.168.1.228,TCP,66,"443  >  53771 [FIN, ACK] Seq=78 Ack=1 Win=201 Len=0 TSval=2617920733 TSecr=2811782518"
17,3.220588,35.153.195.153,192.168.1.228,TCP,66,"[TCP Retransmission] 443  >  53771 [FIN, ACK] Seq=78 Ack=1 Win=201 Len=0 TSval=2617920757 TSecr=2811782518"
18,3.22088,192.168.1.228,35.153.195.153,TCP,66,53771  >  443 [ACK] Seq=1 Ack=78 Win=2047 Len=0 TSval=2811842604 TSecr=2617920733
19,3.220991,192.168.1.228,35.153.195.153,TCP,66,53771  >  443 [ACK] Seq=1 Ack=79 Win=2047 Len=0 TSval=2811842604 TSecr=2617920733
20,3.221019,192.168.1.228,35.153.195.153,TCP,66,[TCP Dup ACK 19#1] 53771  >  443 [ACK] Seq=1 Ack=79 Win=2047 Len=0 TSval=2811842604 TSecr=2617920733
21,3.221467,192.168.1.228,35.153.195.153,TCP,66,"53771  >  443 [FIN, ACK] Seq=1 Ack=79 Win=2048 Len=0 TSval=2811842604 TSecr=2617920733"
22,3.233803,35.153.195.153,192.168.1.228,TCP,66,443  >  53771 [ACK] Seq=79 Ack=2 Win=201 Len=0 TSval=2617920829 TSecr=2811842604
23,3.523778,2603:1036:302:4154::2,2600:4040:231a:b800:3c9e:c12c:139a:9787,UDP,101,443  >  59908 Len=39
24,3.526023,2600:4040:231a:b800:3c9e:c12c:139a:9787,2603:1036:302:4154::2,UDP,101,59908  >  443 Len=39
25,4.473849,2600:4040:231a:b800:3c9e:c12c:139a:9787,2001:4860:482d:7700::,UDP,91,51922  >  443 Len=29
26,4.518694,2600:4040:231a:b800:3c9e:c12c:139a:9787,2001:4860:482d:7700::,UDP,91,51922  >  443 Len=29
27,4.587909,2001:4860:482d:7700::,2600:4040:231a:b800:3c9e:c12c:139a:9787,UDP,86,443  >  51922 Len=24
28,4.592618,2001:4860:482d:7700::,2600:4040:231a:b800:3c9e:c12c:139a:9787,UDP,87,443  >  51922 Len=25
29,4.747261,WNC_46:a8:04,Broadcast,ARP,42,Who has 192.168.1.221? Tell 192.168.1.1
30,6.771708,2600:4040:231a:b800:3c9e:c12c:139a:9787,2001:4860:482d:7700::,UDP,91,55692  >  443 Len=29
31,6.785896,2001:4860:482d:7700::,2600:4040:231a:b800:3c9e:c12c:139a:9787,UDP,87,443  >  55692 Len=25
32,7.1026,WNC_46:a8:04,Broadcast,ARP,42,Who has 192.168.1.178? Tell 192.168.1.1
33,7.10286,WNC_46:a8:04,Broadcast,ARP,42,Who has 192.168.1.161? Tell 192.168.1.1
34,8.742046,192.168.1.205,224.0.0.251,MDNS,79,"Standard query 0x0000 A Pantum-164FF6.local, ""QM"" question"
35,8.74205,fe80::cfda:5f45:41bc:9216,ff02::fb,MDNS,99,"Standard query 0x0000 A Pantum-164FF6.local, ""QM"" question"
36,8.742171,192.168.1.205,224.0.0.251,MDNS,79,"Standard query 0x0000 AAAA Pantum-164FF6.local, ""QU"" question"
37,8.742392,fe80::cfda:5f45:41bc:9216,ff02::fb,MDNS,99,"Standard query 0x0000 AAAA Pantum-164FF6.local, ""QU"" question"
38,8.742566,192.168.1.175,224.0.0.251,MDNS,92,"Standard query response 0x0000 A, cache flush 192.168.1.175"
39,8.743133,192.168.1.183,224.0.0.251,MDNS,89,"Standard query response 0x0000 A, cache flush 192.168.1.183"
40,9.051004,fe80::3ebd:c5ff:fed5:e174,fe80::1097:88a0:4399:850a,ICMPv6,86,Neighbor Solicitation for fe80::1097:88a0:4399:850a from 3c:bd:c5:d5:e1:74
41,9.051268,fe80::1097:88a0:4399:850a,fe80::3ebd:c5ff:fed5:e174,ICMPv6,78,Neighbor Advertisement fe80::1097:88a0:4399:850a (sol)
42,9.150653,192.168.1.205,192.168.1.255,NBNS,92,Name query NB PANTUM-164FF6<00>
43,9.150658,192.168.1.205,224.0.0.251,MDNS,79,"Standard query 0x0000 A Pantum-164FF6.local, ""QM"" question"
44,9.150878,fe80::cfda:5f45:41bc:9216,ff02::fb,MDNS,99,"Standard query 0x0000 A Pantum-164FF6.local, ""QM"" question"
45,9.150883,192.168.1.205,224.0.0.251,MDNS,79,"Standard query 0x0000 AAAA Pantum-164FF6.local, ""QM"" question"
46,9.151972,fe80::cfda:5f45:41bc:9216,ff02::fb,MDNS,99,"Standard query 0x0000 AAAA Pantum-164FF6.local, ""QM"" question"
47,9.152708,192.168.1.183,224.0.0.251,MDNS,89,"Standard query response 0x0000 A, cache flush 192.168.1.183"
48,9.153251,192.168.1.178,224.0.0.251,MDNS,89,"Standard query response 0x0000 A, cache flush 192.168.1.178"
49,9.153254,192.168.1.175,224.0.0.251,MDNS,92,"Standard query response 0x0000 A, cache flush 192.168.1.175"
50,9.153469,WNC_46:a8:04,Broadcast,ARP,42,Who has 192.168.1.171? Tell 192.168.1.1
51,9.457849,192.168.1.205,224.0.0.251,MDNS,79,"Standard query 0x0000 A Pantum-164FF6.local, ""QM"" question"
52,9.458684,fe80::cfda:5f45:41bc:9216,ff02::fb,MDNS,99,"Standard query 0x0000 A Pantum-164FF6.local, ""QM"" question"
