packet_count,total_length,avg_packet_interval,max_packet_interval,most_common_packet_interval,avg_packet_length,max_packet_length,min_packet_length,most_common_packet_length,avg_payload_length,avg_header_length,network,session
798,378701,0.07387952948557089,6.060026999999998,9.999999999177334e-07,474.562656641604,1514,54,66,214.8345864661654,259.7280701754386,colonialwilliamsburg,01
554,231689,0.09170634177215191,5.009706999999999,2.9999999995311555e-06,418.21119133574007,1514,54,66,245.26173285198556,172.9494584837545,colonialwilliamsburg,02
559,234630,0.10529508781362008,10.030999,2.9999999995311555e-06,419.73166368515206,1514,54,66,251.37745974955277,168.3542039355993,colonialwilliamsburg,03
231,70556,0.2400167913043479,11.117093,2.9999999995311555e-06,305.43722943722946,1514,54,66,143.52813852813853,161.9090909090909,colonialwilliamsburg,04
93,14414,0.5877261413043479,11.968261000000002,2.9999999995311555e-06,154.98924731182797,1454,54,66,30.182795698924732,124.80645161290323,colonialwilliamsburg,05
649,269766,0.09200830092592593,4.952678000000001,2.9999999995311555e-06,415.66409861325116,1514,54,66,218.4391371340524,197.22496147919875,colonialwilliamsburg,06
180,53703,0.318515905027933,10.124755999999998,2.9999999995311555e-06,298.35,1514,54,66,167.94444444444446,130.40555555555557,colonialwilliamsburg,07
219,96691,0.27516525229357797,9.875409999999999,2.000000000279556e-06,441.51141552511416,1514,66,66,310.07762557077626,131.4337899543379,colonialwilliamsburg,08
639,288258,0.09357142633228839,10.005353999999999,2.0000000020559128e-06,451.1079812206573,1514,54,66,297.84820031298904,153.25978090766824,colonialwilliamsburg,09
232,109975,0.2454188225108225,40.869901999999996,2.000000000279556e-06,474.0301724137931,1514,54,66,305.1551724137931,168.875,colonialwilliamsburg,10
517,224721,0.11459852713178295,5.00929,2.9999999995311555e-06,434.6634429400387,1514,54,66,267.1392649903288,167.52417794970987,colonialwilliamsburg,11
467,209492,0.12617892489270385,14.740761,2.9999999995311555e-06,448.5910064239829,1514,54,66,291.593147751606,156.99785867237688,colonialwilliamsburg,12
291,102263,0.18522837931034483,5.116537000000001,1.000000000001e-06,351.4192439862543,1514,54,66,194.38144329896906,157.03780068728523,colonialwilliamsburg,13
333,121502,0.16278264457831326,9.913778999999998,2.9999999995311555e-06,364.8708708708709,1514,66,66,204.74474474474474,160.12612612612614,colonialwilliamsburg,14
202,81490,0.27429076119402984,9.830655,1.0000000010279564e-06,403.41584158415844,1514,54,66,243.87623762376236,159.53960396039605,colonialwilliamsburg,15
273,118798,0.19158480882352943,5.8498850000000004,2.9999999995311555e-06,435.15750915750914,1514,54,66,152.86446886446888,282.2930402930403,colonialwilliamsburg,16
361,116480,0.15842084166666667,11.386628,9.999999974752427e-07,322.65927977839334,1514,54,66,176.65927977839334,146.0,colonialwilliamsburg,17
386,179059,0.15394794805194806,10.076845999999996,2.9999999995311555e-06,463.8834196891192,1514,54,66,300.2279792746114,163.65544041450778,colonialwilliamsburg,18
198,60080,0.25883584263959397,9.824458999999997,1.0000000000287557e-06,303.4343434343434,1514,54,66,146.41919191919192,157.0151515151515,colonialwilliamsburg,19
4387,5260572,0.01132513953488372,6.433849000000002,9.999999974752427e-07,1199.1274219284248,1514,54,1514,1030.016640072943,169.11078185548212,colonialwilliamsburg,20
19451,20755204,0.003070652853470437,2.441602000000003,1.000000000139778e-06,1067.0507428923963,1514,42,1514,737.4856819700786,329.5650609223176,colonialwilliamsburg,21
7805,7153091,0.0076822907483341885,1.324538999999998,1.000000000139778e-06,916.475464445868,1514,42,1514,691.9365791159513,224.53888532991672,colonialwilliamsburg,22
1198,340895,0.04900939348370927,1.4335500000000003,2.9999999995311555e-06,284.5534223706177,1514,42,86,89.59432387312187,194.95909849749583,colonialwilliamsburg,23
1145,336093,0.05021599562937063,1.4403229999999994,2.0000000020559128e-06,293.5310043668122,1514,42,86,52.4,241.13100436681222,colonialwilliamsburg,24
1123,329681,0.05336049554367201,2.1966910000000013,2.0000000020559128e-06,293.57168299198577,1514,42,110,55.1113089937667,238.46037399821907,colonialwilliamsburg,25
1129,325559,0.05310720656028369,2.1490460000000002,2.9999999995311555e-06,288.3604960141718,1514,42,110,175.01594331266608,113.34455270150576,colonialwilliamsburg,26
5988,5777567,0.010006068314681812,2.761219000000004,9.999999992515995e-07,964.8575484301937,1514,42,1514,764.7808951235805,200.07665330661322,colonialwilliamsburg,27
17419,21201930,0.0034112998622115053,1.8434620000000024,1.0000000010279564e-06,1217.1726275905621,1514,42,1514,970.1442677536024,247.02835983695965,colonialwilliamsburg,28
9748,9295837,0.006061997948086591,2.765034,9.999999992515995e-07,953.6147927780057,1514,42,1514,667.7837505129257,285.83104226508004,colonialwilliamsburg,29
3009,2106801,0.01987825265957447,2.1372730000000004,9.999999992515995e-07,700.1665004985044,1514,42,1514,458.23363243602523,241.93286806247923,colonialwilliamsburg,30
569,63059,0.10384344366197183,1.8447110000000038,2.9999999995311555e-06,110.82425307557118,1490,42,86,11.0597539543058,99.76449912126537,colonialwilliamsburg,31
4584,1828979,0.013059835260746238,2.119894000000002,2.9999999995311555e-06,398.9919284467714,1514,42,66,215.8448952879581,183.14703315881326,colonialwilliamsburg,32
9401,7091596,0.0063763487234042545,1.252357,9.999999974752427e-07,754.3448569301138,1514,42,1514,474.59132007233273,279.7535368577811,colonialwilliamsburg,33
8374,7999024,0.007123841156096979,2.5631249999999994,9.999999974752427e-07,955.2213995700979,1514,42,1514,733.231669453069,221.9897301170289,colonialwilliamsburg,34
43738,53617392,0.001347142488053593,1.846429999999998,9.999999974752427e-07,1225.876629018245,1514,42,1514,49.59774109470026,1176.2788879235447,colonialwilliamsburg,35
24244,26440332,0.002462508765416821,2.360985999999997,1.000000000139778e-06,1090.5928064675795,1514,42,1514,397.7595281306715,692.833278336908,colonialwilliamsburg,36
3369,2292669,0.017675817695961996,2.0244470000000003,9.999999974752427e-07,680.5191451469278,1514,42,1514,431.6693380825171,248.8498070644108,colonialwilliamsburg,37
1456,392109,0.041049201374570445,2.358912,9.999999974752427e-07,269.30563186813185,1514,42,86,16.067307692307693,253.23832417582418,colonialwilliamsburg,38
2950,2739148,0.020223548321464904,2.5565009999999972,9.999999974752427e-07,928.5247457627119,1514,42,1514,718.7837288135594,209.74101694915254,colonialwilliamsburg,39
2254,1877109,0.026588900133155794,1.8432749999999993,2.0000000020559128e-06,832.7901508429459,1514,42,1514,466.34205856255545,366.4480922803904,colonialwilliamsburg,40
2071,1793386,0.0277029561352657,4.558098399999999,0.0,865.9517141477547,12582,54,1274,8.460647030420088,857.4910671173346,instagram,01
1833,1533275,0.032225313537117904,7.243084600000001,0.0,836.4839061647572,1292,75,1274,794.4839061647572,42.0,instagram,02
3133,2709769,0.018945627107279695,14.127225500000002,0.0,864.911905521864,1292,75,1274,822.911905521864,42.0,instagram,03
1421,1190889,0.041932121267605635,6.3634845,0.0,838.064039408867,1292,76,1274,796.064039408867,42.0,instagram,04
1583,1343001,0.037839798166877374,11.1770971,0.0,848.3897662665825,1292,72,1274,800.6317119393557,47.75805432722679,instagram,05
1517,1287004,0.027014942875989444,11.365172900000001,0.0,848.3876071193145,1292,71,1274,806.3876071193145,42.0,instagram,06
2025,1653709,0.029360237302371542,6.505750499999998,0.0,816.6464197530864,1292,75,1274,0.0,816.6464197530864,instagram,07
2392,1993462,0.025061315516520282,4.5923826000000005,0.0,833.3871237458194,2838,54,1274,0.0004180602006688963,833.3867056856187,instagram,08
1468,1220760,0.03964685978186776,7.462974200000005,0.0,831.5803814713896,1292,55,1274,789.5626702997275,42.01771117166213,instagram,09
1447,1159889,0.030272185615491016,13.840489999999999,0.0,801.5818935729095,1292,75,1274,0.0,801.5818935729095,instagram,10
1255,1018325,0.04654263492822967,11.7913632,0.0,811.4143426294821,1292,71,1274,769.4143426294821,42.0,instagram,11
1314,1125021,0.04565624310738766,14.8433135,0.0,856.1803652968036,2838,54,1274,0.00076103500761035,856.179604261796,instagram,12
2146,1752688,0.027462013799533797,5.079565600000002,0.0,816.7232059645853,1292,75,1274,0.0,816.7232059645853,instagram,13
1739,1324676,0.03286354321058688,4.377134099999999,0.0,761.7458309373203,1292,75,1274,719.7458309373203,42.0,instagram,14
1768,1533674,0.028948739784946238,5.6239653,0.0,867.4626696832579,1292,71,1274,825.4626696832579,42.0,instagram,15
1623,1327878,0.03698592151664611,13.476703999999998,0.0,818.1626617375231,1292,76,1274,0.0,818.1626617375231,instagram,16
1417,1221630,0.04026438580508475,17.474895699999998,0.0,862.1242060691602,1292,75,1274,820.1242060691602,42.0,instagram,17
1619,1300262,0.03699172360939431,10.570990700000003,0.0,803.1266213712169,1292,76,1274,761.1266213712169,42.0,instagram,18
1704,1393701,0.03490577974163241,11.460384999999999,0.0,817.8996478873239,1292,71,1274,0.0,817.8996478873239,instagram,19
2438,2050820,0.024547282314320885,3.2524374000000016,0.0,841.1894995898277,1292,76,1274,799.1894995898277,42.0,instagram,20
2096,1760138,0.028125758377088306,7.696392099999999,0.0,839.7604961832061,1292,75,1274,0.0,839.7604961832061,instagram,21
2387,2030829,0.024899620578373846,5.938768400000001,0.0,850.7871805613742,1292,75,1274,786.6531210724759,64.1340594888982,instagram,22
1660,1437526,0.034789296081977096,14.859864700000003,0.0,865.9795180722891,1292,74,1274,0.0,865.9795180722891,instagram,23
